5,35	;	25,15	;	0;	
13,1	;	25,15	;	0;
37,2	;	25,15	;	0;
25,15	;	27,35	;	0; 	0,1,2
25,1	;	60,30	;	0;
60,30	;	20,45	;	0;	4,15
1,18	;	20,45	;	0;	13
20,45	;	22,25	;	0;	5,6
1,18	;	38,29	;	0;	13
38,29	;	35,52	;	0;	8,14
38,29	;	15,34	;	0;	8,14
35,52	;	33,55	;	0;	9
35,52	;	27,35	;	0;	9
45,8	;	1,18	;	0;
45,8	;	38,29	;	0;
45,8	;	60,30	;	0;
60,30	;	25,1	;	0;	15
38,29	;	45,8	;	0;	8,14
20,45	;	1,18	;	0;	6,5
38,29	;	77,68	;	0;	14,8
60,30	;	77,68	;	0;	4,15
77,68	;	78,58	;	0;	19,20
78,58	;	98,59	;	0;	21
78,58	;	91,91	;	0;	21
77,68	;	94,43	;	0;	19,20
77,68	;	95,69	;	0;	19,20
94,43	;	95,69	;	0;	24
77,68	;	77,37	;	0;	19,20
77,37	;	98,33	;	0;	27
94,43	;	98,33	;	0;	24
98,33	;	99,15	;	0;	28,29
98,33	;	82,8	;	0;	28,29
99,15	;	45,8	;	0;	30
