12,8;	20,15;	0;
10,16; 	20,15; 	0; 
12,8; 	60,9; 	0; 
60,9;	59,19; 	0;	2
60,9;	68,33;	0; 
68,33;	59,19; 	0;	4
4,82;	12,66;	0;
12,66;	22,60;	0;	6
4,82;	20,90;	0;
20,90;	22,60; 	0;	8
30,80;	22,60;	0;
45,95;	55,75; 	0;
55,75;	65,65;	0; 	11
90,90;	80,70;	0;
80,70;	65,65;	0;	13
20,15; 	35,40;	0;	0,1
59,19; 	35,40;  0; 	3,5
22,60;	35,40;	0; 	7,9,10
65,65;	35,40;	0; 	12,14
45,95;	35,40;	0; 
35,40;	20,15; 	0; 	17,19
35,40;	59,19;	0; 	15,17,18,19
35,40;	65,65;	0;	15,16,17,19
35,40;	22,60;	0;	15,16
20,15;	12,8;	0;	20
20,15;	10,16;	0;	20
59,19;	68,33;	0;	21
68,33;	60,9;	0;	26
22,60;	30,80;	0;	23
22,60;	20,90;	0;	23
22,60;	12,66;	0;	23
12,66;	4,82;	0;	30
65,65;	55,75;	0;	22
55,75;	45,95;	0;	32
45,95;	35,40;	0;	33
65,65;	80,70;	0;	22
80,70;	90,90;	0;	35
20,15;	35,40;	0;	15
22,60;	35,40;	0;	17
