48,59;5,58;0
73,21;36,68;0
17,16;22,32;0
81,90;33,85;0
1,2;33,93;0
78,28;94,97;0
44,84;68,71;0
74,83;98,31;0
67,59;68,7;0
56,40;94,72;0
10,20;98,10;0
59,82;5,54;0
14,12;48,98;0
96,2;89,13;0
64,8;96,18;0
97,1;41,20;0
4,7;64,5;0
17,80;89,82;0
55,98;51,41;0
48,50;28,7;0
85,44;28,44;0
15,27;83,26;0
94,87;89,19;0
98,3;44,28;0
40,45;73,41;0
9,33;7,45;0
56,9;94,42;0
45,71;94,5;0
81,63;77,19;0
71,34;39,15;0
19,20;18,69;0
15,68;71,24;0
28,76;38,40;0
10,61;20,60;0
7,44;62,24;0
16,54;25,95;0
66,59;76,47;0
59,62;15,31;0
95,54;84,86;0
58,3;40,27;0
50,76;8,76;0
93,8;62,90;0
78,56;42,49;0
87,49;46,92;0
61,14;83,85;0
43,12;11,63;0
14,16;94,93;0
35,1;91,13;0
9,53;26,2;0
95,68;76,69;0
13,33;68,47;0
34,74;41,76;0
67,48;7,36;0
16,25;8,2;0
17,84;76,9;0
27,36;93,83;0
33,23;34,53;0
73,17;67,13;0
74,18;16,31;0
11,7;53,27;0
20,9;71,3;0
74,85;82,17;0
30,6;38,1;0
56,7;96,60;0
89,61;32,34;0
20,14;96,29;0
26,76;57,40;0
4,70;94,11;0
52,39;77,45;0
17,47;3,98;0
95,7;51,2;0
99,43;82,79;0
55,95;22,68;0
86,85;6,94;0
11,26;18,43;0
60,81;83,58;0
99,60;18,83;0
39,53;36,45;0
69,52;99,3;0
67,35;75,47;0
19,73;1,26;0
12,50;30,8;0
79,39;58,80;0
0,4;45,91;0
79,80;4,65;0
82,90;44,81;0
2,32;39,11;0
53,3;18,86;0
36,24;70,8;0
25,18;40,25;0
74,82;31,67;0
57,66;94,63;0
6,22;57,6;0
43,90;84,6;0
93,83;28,80;0
27,18;33,24;0
28,55;73,11;0
42,84;88,62;0
31,30;19,62;0
37,82;84,43;0
